date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:00	45191/45191	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:12:59%20GMT	http://webmarce.com/html/education/faq-page.html	E:/second_site/second_site/webmarce.com/html/education/faq-page.html	(from http://webmarce.com/html/education/index.html)
11:14:01	33790/33790	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:04%20GMT	http://webmarce.com/html/education/ourprofessors.html	E:/second_site/second_site/webmarce.com/html/education/ourprofessors.html	(from http://webmarce.com/html/education/index.html)
11:14:02	44416/44416	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:08%20GMT	http://webmarce.com/html/education/our-professsors-detail.html	E:/second_site/second_site/webmarce.com/html/education/our-professsors-detail.html	(from http://webmarce.com/html/education/index.html)
11:14:02	57853/57853	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:19%20GMT	http://webmarce.com/html/education/typography-elements.html	E:/second_site/second_site/webmarce.com/html/education/typography-elements.html	(from http://webmarce.com/html/education/index.html)
11:14:03	32106/32106	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:00%20GMT	http://webmarce.com/html/education/gallery.html	E:/second_site/second_site/webmarce.com/html/education/gallery.html	(from http://webmarce.com/html/education/index.html)
11:14:04	75098/75098	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:09%20GMT	http://webmarce.com/html/education/shop-list.html	E:/second_site/second_site/webmarce.com/html/education/shop-list.html	(from http://webmarce.com/html/education/index.html)
11:14:05	83346/83346	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:08%20GMT	http://webmarce.com/html/education/shop-grid.html	E:/second_site/second_site/webmarce.com/html/education/shop-grid.html	(from http://webmarce.com/html/education/index.html)
11:14:06	52355/52355	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:10%20GMT	http://webmarce.com/html/education/shop-single-product.html	E:/second_site/second_site/webmarce.com/html/education/shop-single-product.html	(from http://webmarce.com/html/education/index.html)
11:14:06	32626/32626	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:22:09%20GMT	http://webmarce.com/html/education/contact-us.html	E:/second_site/second_site/webmarce.com/html/education/contact-us.html	(from http://webmarce.com/html/education/index.html)
11:14:07	21692/21692	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:28:09%20GMT	http://webmarce.com/html/education/extra-images/megamenu-frame.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/megamenu-frame.jpg	(from http://webmarce.com/html/education/index.html)
11:14:09	23783/23783	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:28:09%20GMT	http://webmarce.com/html/education/extra-images/mega-menuadd.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/mega-menuadd.jpg	(from http://webmarce.com/html/education/index.html)
11:14:14	25562/25562	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:28:54%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-1.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-1.jpg	(from http://webmarce.com/html/education/index.html)
11:14:15	2076/2076	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:29:09%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-thumb-1.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-thumb-1.jpg	(from http://webmarce.com/html/education/index.html)
11:14:19	64607/64607	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:31:17%20GMT	http://webmarce.com/html/education/extra-images/banner-view1-3.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/banner-view1-3.jpg	(from http://webmarce.com/html/education/index.html)
11:14:20	1850/1850	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:29:11%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-thumb-2.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-thumb-2.jpg	(from http://webmarce.com/html/education/index.html)
11:14:20	29859/29859	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:28:55%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-2.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-2.jpg	(from http://webmarce.com/html/education/index.html)
11:14:21	2015/2015	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:29:11%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-thumb-3.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-thumb-3.jpg	(from http://webmarce.com/html/education/index.html)
11:14:22	95031/95031	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:31:16%20GMT	http://webmarce.com/html/education/extra-images/banner-view1-2.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/banner-view1-2.jpg	(from http://webmarce.com/html/education/index.html)
11:14:23	1775/1775	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:29:12%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-thumb-4.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-thumb-4.jpg	(from http://webmarce.com/html/education/index.html)
11:14:23	21995/21995	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:28:56%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-3.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-3.jpg	(from http://webmarce.com/html/education/index.html)
11:14:24	112153/112153	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:31:19%20GMT	http://webmarce.com/html/education/extra-images/banner-view1-1.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/banner-view1-1.jpg	(from http://webmarce.com/html/education/index.html)
11:14:24	21028/21028	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2017:28:58%20GMT	http://webmarce.com/html/education/extra-images/papular-courses-4.jpg	E:/second_site/second_site/webmarce.com/html/education/extra-images/papular-courses-4.jpg	(from http://webmarce.com/html/education/index.html)
11:14:28	35628/35628	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:31:12%20GMT	http://webmarce.com/html/education/extra-images/ask-questoin-bg.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/ask-questoin-bg.png	(from http://webmarce.com/html/education/index.html)
11:14:34	65739/65739	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:02%20GMT	http://webmarce.com/html/education/extra-images/learn-listing-1.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/learn-listing-1.png	(from http://webmarce.com/html/education/index.html)
11:14:37	77552/77552	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:03%20GMT	http://webmarce.com/html/education/extra-images/learn-listing-2.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/learn-listing-2.png	(from http://webmarce.com/html/education/index.html)
11:14:40	90491/90491	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:05%20GMT	http://webmarce.com/html/education/extra-images/learn-listing-3.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/learn-listing-3.png	(from http://webmarce.com/html/education/index.html)
11:14:41	81258/81258	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:06%20GMT	http://webmarce.com/html/education/extra-images/learn-listing-4.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/learn-listing-4.png	(from http://webmarce.com/html/education/index.html)
11:14:41	4553/4553	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:20%20GMT	http://webmarce.com/html/education/extra-images/testimonial-thumb-1.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/testimonial-thumb-1.png	(from http://webmarce.com/html/education/index.html)
11:14:41	42510/42510	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:27:41%20GMT	http://webmarce.com/html/education/extra-images/latest-event-1.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/latest-event-1.png	(from http://webmarce.com/html/education/index.html)
11:14:42	39457/39457	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:27:42%20GMT	http://webmarce.com/html/education/extra-images/latest-event-2.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/latest-event-2.png	(from http://webmarce.com/html/education/index.html)
11:14:42	4639/4639	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:23%20GMT	http://webmarce.com/html/education/extra-images/testimonial-thumb-2.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/testimonial-thumb-2.png	(from http://webmarce.com/html/education/index.html)
11:14:43	2639/2639	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:29%20GMT	http://webmarce.com/html/education/extra-images/news-grid-thumb-1.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/news-grid-thumb-1.png	(from http://webmarce.com/html/education/index.html)
